Genotype_code,Loc.Year.Treat
EB.10H.H.00033,BLOIS_2017_OPT
EB.10H.H.00036,BLOIS_2017_OPT
EB.10H.H.00037,BLOIS_2017_OPT
EB.10H.H.00038,BLOIS_2017_OPT
EB.10H.H.00040,BLOIS_2017_OPT
EB.10H.H.00041,BLOIS_2017_OPT
EB.10H.H.00043,BLOIS_2017_OPT
EB.10H.H.00045,BLOIS_2017_OPT
EB.10H.H.00046,BLOIS_2017_OPT
EB.10H.H.00047,BLOIS_2017_OPT
EB.10H.H.00050,BLOIS_2017_OPT
EB.10H.H.00051,BLOIS_2017_OPT
EB.10H.H.00052,BLOIS_2017_OPT
EB.10H.H.00053,BLOIS_2017_OPT
EB.10H.H.00055,BLOIS_2017_OPT
EB.10H.H.00056,BLOIS_2017_OPT
EB.10H.H.00058,BLOIS_2017_OPT
EB.10H.H.00060,BLOIS_2017_OPT
EB.10H.H.00061,BLOIS_2017_OPT
EB.10H.H.00062,BLOIS_2017_OPT
EB.10H.H.00063,BLOIS_2017_OPT
EB.10H.H.00064,BLOIS_2017_OPT
EB.10H.H.00067,BLOIS_2017_OPT
EB.10H.H.00077,BLOIS_2017_OPT
EB.10H.H.00078,BLOIS_2017_OPT
EB.10H.H.00079,BLOIS_2017_OPT
EB.10H.H.00081,BLOIS_2017_OPT
EB.10H.H.00083,BLOIS_2017_OPT
EB.10H.H.00085,BLOIS_2017_OPT
EB.10H.H.00087,BLOIS_2017_OPT
EB.10H.H.00095,BLOIS_2017_OPT
EB.10H.H.00096,BLOIS_2017_OPT
EB.10H.H.00097,BLOIS_2017_OPT
EB.10H.H.00099,BLOIS_2017_OPT
EB.10H.H.00106,BLOIS_2017_OPT
EB.10H.H.00111,BLOIS_2017_OPT
EB.10H.H.00117,BLOIS_2017_OPT
EB.10H.H.00122,BLOIS_2017_OPT
EB.10H.H.00126,BLOIS_2017_OPT
EB.10H.H.00128,BLOIS_2017_OPT
